Lukoki,123,123,123,123,123,123,123
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
Lukoki,12,12,cc,12,3,1234,932
Elias,23,12,cc,23,3,12,23
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
Lukoki,12,12,cc,12,3,12,12
Cabelo,21,2,cc,10,2,21,21
